지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
108,서울,2019-01-27,-.1,,3.7,10.31,4.3
108,서울,2019-01-28,1.2,0,6.8,11.76,1.3
108,서울,2019-01-29,-.2,,3.7,11.87,2.1
108,서울,2019-01-30,1.8,,3.8,9.13,6.9
108,서울,2019-01-31,-2,,4.7,5.97,7
108,서울,2019-02-01,-2.1,.3,4.9,9.71,3
108,서울,2019-02-02,1.4,0,1.8,4.48,7.5
108,서울,2019-02-03,3.3,16,4,.54,9.3
108,서울,2019-02-04,-.6,,4.9,12.74,2.4
108,서울,2019-02-05,2.8,,2.9,11.81,3.9
108,서울,2019-02-06,5.1,,3.1,6.87,8.1
108,서울,2019-02-07,-2.1,.5,5.5,13.09,4.3
108,서울,2019-02-08,-6.1,,4.7,12.08,6.1
108,서울,2019-02-09,-5.4,,4.9,13.27,4.4
108,서울,2019-02-10,-5,,3.6,7.83,7.5
108,서울,2019-02-11,-3,,4.9,14.53,.4
108,서울,2019-02-12,-.6,0,4.3,12.34,5.6
108,서울,2019-02-13,-2.1,,5.1,14.15,1.8
108,서울,2019-02-14,-.5,,3.2,14.39,5.3
108,서울,2019-02-15,-.8,2.2,4,3.57,9.1
108,서울,2019-02-16,-2.7,.2,4.6,13.19,2.4
108,서울,2019-02-17,-1.8,,4.2,16.08,.1
108,서울,2019-02-18,.9,,2.8,10.19,7.4
108,서울,2019-02-19,1.4,4.6,3.9,3.43,9.4
108,서울,2019-02-20,1.7,0,4.1,6.26,6.5
108,서울,2019-02-21,2.4,,3.4,14.6,0
108,서울,2019-02-22,4,,3.7,15.33,5.4
108,서울,2019-02-23,6.8,,2.9,16.04,2.9
108,서울,2019-02-24,6.3,,4.9,16.07,1.6
108,서울,2019-02-25,4.7,,4.8,14.21,4.8
108,서울,2019-02-26,5.2,,4.9,16.25,3.6
108,서울,2019-02-27,7.8,,4.3,12.84,7.5
108,서울,2019-02-28,6.6,,4.7,14.07,3.3
108,서울,2019-03-01,6.6,,4.4,15.38,.3
108,서울,2019-03-02,7.8,,3.3,13.57,5.8
108,서울,2019-03-03,9.4,,3.3,15.37,4.8
108,서울,2019-03-04,9.9,,4.7,14.87,2.3
